Age,Sex,province,education,total_count,education_level
"All ages, 15-plus",Both sexes,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",28643015,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Canada,"No certificate, diploma or degree (2016 counts)",5239580,Other
"All ages, 15-plus",Both sexes,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),7576400,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Canada,Apprenticeship or trades certificate or diploma (2016 counts),2800265,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",5553830,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Canada,University certificate or diploma below bachelor level (2016 counts),813335,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",13990430,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Canada,"No certificate, diploma or degree (2016 counts)",2667995,Other
"All ages, 15-plus",Male,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),3686630,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,Canada,Apprenticeship or trades certificate or diploma (2016 counts),1906610,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2326940,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,Canada,University certificate or diploma below bachelor level (2016 counts),331940,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",14652585,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Canada,"No certificate, diploma or degree (2016 counts)",2571585,Other
"All ages, 15-plus",Female,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),3889765,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Canada,Apprenticeship or trades certificate or diploma (2016 counts),893650,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",3226885,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Canada,University certificate or diploma below bachelor level (2016 counts),481395,University certificate or diploma below bachelor level
25 to 64,Both sexes,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",18931385,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Canada,"No certificate, diploma or degree (2016 counts)",2169795,Other
25 to 64,Both sexes,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),4494590,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Canada,Apprenticeship or trades certificate or diploma (2016 counts),2042425,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",4241985,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Canada,University certificate or diploma below bachelor level (2016 counts),580885,University certificate or diploma below bachelor level
25 to 64,Male,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",9268560,"Highest certificate, diploma or degree"
25 to 64,Male,Canada,"No certificate, diploma or degree (2016 counts)",1200105,Other
25 to 64,Male,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),2247020,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Canada,Apprenticeship or trades certificate or diploma (2016 counts),1377775,Apprenticeship or trades certificate or diploma
25 to 64,Male,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1786065,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Canada,University certificate or diploma below bachelor level (2016 counts),240040,University certificate or diploma below bachelor level
25 to 64,Female,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",9662825,"Highest certificate, diploma or degree"
25 to 64,Female,Canada,"No certificate, diploma or degree (2016 counts)",969685,Other
25 to 64,Female,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),2247565,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Canada,Apprenticeship or trades certificate or diploma (2016 counts),664655,Apprenticeship or trades certificate or diploma
25 to 64,Female,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2455920,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Canada,University certificate or diploma below bachelor level (2016 counts),340850,University certificate or diploma below bachelor level
25 to 34,Both sexes,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",4576575,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Canada,"No certificate, diploma or degree (2016 counts)",398475,Other
25 to 34,Both sexes,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),1007695,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Canada,Apprenticeship or trades certificate or diploma (2016 counts),457755,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",987585,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Canada,University certificate or diploma below bachelor level (2016 counts),125480,University certificate or diploma below bachelor level
25 to 34,Male,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",2264965,"Highest certificate, diploma or degree"
25 to 34,Male,Canada,"No certificate, diploma or degree (2016 counts)",235565,Other
25 to 34,Male,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),573790,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Canada,Apprenticeship or trades certificate or diploma (2016 counts),312840,Apprenticeship or trades certificate or diploma
25 to 34,Male,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",432175,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Canada,University certificate or diploma below bachelor level (2016 counts),52135,University certificate or diploma below bachelor level
25 to 34,Female,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",2311610,"Highest certificate, diploma or degree"
25 to 34,Female,Canada,"No certificate, diploma or degree (2016 counts)",162905,Other
25 to 34,Female,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),433905,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Canada,Apprenticeship or trades certificate or diploma (2016 counts),144915,Apprenticeship or trades certificate or diploma
25 to 34,Female,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",555410,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,Canada,University certificate or diploma below bachelor level (2016 counts),73350,University certificate or diploma below bachelor level
35 to 44,Both sexes,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",4507775,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Canada,"No certificate, diploma or degree (2016 counts)",395425,Other
