cps19_votechoice,cps19_gender,cps19_age,cps19_province,cps19_education,education_level,gender,Age
Green Party,A woman,30,Quebec,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Don't know/ Prefer not to answer,A woman,50,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Liberal Party,A woman,63,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
ndp,A woman,28,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Conservative Party,A man,59,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,60,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
ndp,A man,63,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,55 to 64
Liberal Party,A woman,29,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Green Party,A woman,57,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A woman,63,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A man,44,Quebec,Some university,University certificate or diploma below bachelor level,Male,35 to 44
Green Party,A man,41,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
Conservative Party,A man,62,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,42,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Liberal Party,A man,32,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Liberal Party,A man,59,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,34,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Green Party,A man,37,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A man,47,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Don't know/ Prefer not to answer,A woman,63,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A man,30,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A man,59,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Green Party,A woman,61,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
ndp,A woman,31,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A woman,47,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A woman,64,Manitoba,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A woman,64,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A man,49,Alberta,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
Conservative Party,A man,55,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A man,56,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Conservative Party,A man,63,Saskatchewan,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A woman,46,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A woman,38,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Green Party,A man,57,Prince Edward Island,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A man,59,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Liberal Party,A man,28,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Liberal Party,A man,63,Ontario,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A man,61,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A woman,29,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,49,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A woman,62,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A man,47,Nova Scotia,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,45 to 54
Liberal Party,A woman,54,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Green Party,A woman,55,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Green Party,A woman,58,Ontario,Some secondary/ high school,Other,Female,55 to 64
Liberal Party,A woman,41,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Bloc Québécois,A man,54,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
Conservative Party,A woman,34,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,48,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Liberal Party,A woman,53,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Liberal Party,A woman,28,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Green Party,A woman,40,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Don't know/ Prefer not to answer,A woman,28,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
